,City,Country,Date,Cloudiness,Lat,Lng,Humidity,Wind Speed,Max Temp,Min Temp
152,MA,MA,1572985496,0,35.17,-2.93,67,10.29,62.6,57.2
153,PE,PE,1572985498,1,-11.1,-77.61,64,8.66,69.28,69.28
154,CF,CF,1572985499,28,4.15,15.03,82,2.17,70.48,70.48
155,US,US,1572985501,90,33.16,-94.97,77,8.05,72.0,64.99
156,PG,PG,1572985502,100,-2.57,150.8,81,19.33,81.64,81.64
157,CA,CA,1572985467,75,55.1,-105.3,62,14.99,19.4,19.4
158,IN,IN,1572985448,86,11.67,92.75,80,19.19,81.88,81.88
159,CA,CA,1572985507,90,54.32,-130.32,87,6.93,50.0,50.0
160,AL,AL,1572985508,26,40.25,19.57,74,23.78,70.27,70.27
161,KZ,KZ,1572985509,89,51.1,66.31,84,15.21,22.87,22.87
162,ML,ML,1572985511,0,20.2,1.01,14,9.26,82.62,82.62
163,NO,NO,1572985512,75,67.67,12.69,100,4.7,30.2,30.2
164,BR,BR,1572985350,82,-1.36,-47.3,50,10.92,86.2,86.2
165,RU,RU,1572985515,100,50.63,87.96,85,1.16,23.77,23.77
166,GL,GL,1572985516,100,60.14,-45.24,91,28.83,35.91,35.91
167,RU,RU,1572985517,9,65.58,-170.99,85,10.54,24.12,24.12
168,DK,DK,1572985519,100,56.11,10.17,86,6.93,41.0,35.01
169,BR,BR,1572985520,90,-25.72,-49.65,88,6.93,71.6,64.99
170,ES,ES,1572985521,96,41.92,3.16,87,3.36,54.0,48.0
171,PH,PH,1572985523,26,12.18,125.51,88,4.0,78.21,78.21
172,KZ,KZ,1572985524,82,53.17,63.58,55,8.95,33.8,33.8
173,AU,AU,1572985525,40,-13.85,136.42,94,4.7,75.2,75.2
174,NU,NU,1572985413,40,-19.06,-169.92,65,13.87,77.0,77.0
175,GB,GB,1572985528,20,53.69,-2.25,81,6.93,46.4,39.99
176,PG,PG,1572985530,75,-9.47,147.16,88,3.36,75.2,75.2
177,IT,IT,1572985531,20,42.95,13.88,56,8.05,69.8,62.01
178,RU,RU,1572985532,93,67.46,153.71,99,3.51,-3.21,-3.21
179,CD,CD,1572985533,33,-6.05,26.92,91,1.86,69.55,69.55
180,PL,PL,1572985535,40,52.56,19.93,87,6.93,50.0,45.0
181,BR,BR,1572985536,40,-5.2,-35.46,65,12.75,80.6,80.6
182,AU,AU,1572985538,0,-31.65,116.67,87,6.93,50.0,50.0
183,RU,RU,1572985539,100,63.46,48.9,86,1.5,17.24,17.24
184,PT,PT,1572985540,75,38.52,-28.7,63,12.75,62.6,62.6
185,PF,PF,1572985542,14,-16.48,-151.75,72,7.49,81.01,81.01
186,FR,FR,1572985543,19,48.94,2.36,93,2.24,48.99,41.0
187,BR,BR,1572985545,40,-16.19,-55.97,74,6.93,80.6,80.6
188,PH,PH,1572985546,95,17.08,122.42,89,8.77,77.22,77.22
189,BR,BR,1572985547,40,-6.97,-34.84,69,13.87,80.6,80.6
190,CA,CA,1572985549,100,46.12,-70.67,92,4.0,46.0,45.0
191,TL,TL,1572985550,13,-8.93,125.41,65,3.4,66.49,66.49
192,AU,AU,1572985551,32,-27.18,151.26,43,5.82,61.0,50.0
193,NG,NG,1572985553,0,10.41,10.6,34,1.95,78.01,78.01
194,TM,TM,1572985370,0,42.05,59.39,58,6.93,28.4,26.6
195,CN,CN,1572985555,99,26.87,104.28,98,2.75,48.94,48.94
196,ID,ID,1572985557,61,-8.63,122.22,56,3.74,77.09,77.09
197,GL,GL,1572985558,40,69.22,-51.1,58,12.75,32.0,32.0
198,GL,GL,1572985559,100,72.79,-56.15,66,4.72,16.88,16.88
199,NA,NA,1572985561,82,-18.06,13.84,19,5.01,76.8,76.8
200,US,US,1572985424,1,36.62,-121.92,59,5.82,82.0,57.0
201,US,US,1572985564,1,21.5,-158.02,83,1.19,79.0,75.2
202,GL,GL,1572985565,90,68.31,-53.46,66,7.92,31.6,31.6
203,RU,RU,1572985567,100,60.4,57.08,97,4.68,31.12,31.12
204,PF,PF,1572985316,21,-9.8,-139.03,73,21.59,80.49,80.49
205,AU,AU,1572985569,75,-20.01,148.25,82,6.93,73.99,68.0
206,GL,GL,1572985347,88,77.48,-69.36,59,10.16,4.93,4.93
207,CA,CA,1572985572,75,63.75,-68.52,85,5.82,17.6,17.01
208,PK,PK,1572985573,100,34.56,76.13,56,7.83,26.33,26.33
209,NZ,NZ,1572985400,100,-45.87,170.5,75,5.01,53.01,53.01
210,PG,PG,1572985576,100,-6.21,149.55,93,3.65,72.34,72.34
211,MM,MM,1572985577,83,14.07,98.19,80,9.8,80.35,80.35
212,US,US,1572985579,1,41.87,-103.67,50,6.93,55.4,53.01
213,EG,EG,1572985580,40,31.4,30.42,69,6.93,73.4,73.4
214,ZA,ZA,1572985581,100,-28.77,32.06,78,19.66,73.8,73.8
215,RU,RU,1572985583,40,56.17,91.82,92,7.14,15.8,15.8
216,US,US,1572985584,90,40.6,-124.16,93,3.36,62.01,48.2
217,LY,LY,1572985586,0,31.86,10.98,33,6.29,71.33,71.33
218,PG,PG,1572985587,100,-2.67,141.3,79,8.63,80.55,80.55
219,JP,JP,1572985588,0,34.7,138.93,95,4.0,51.01,51.01
220,CA,CA,1572985589,90,50.1,-91.92,61,18.34,17.6,17.6
221,CO,CO,1572985591,40,1.41,-77.39,83,6.93,69.8,57.2
222,ES,ES,1572985592,75,42.77,-9.06,100,4.7,55.99,46.0
223,TR,TR,1572985334,20,36.95,36.2,63,3.36,66.0,62.6
224,TD,TD,1572985595,100,9.11,18.35,78,1.19,78.8,78.8
225,PH,PH,1572985596,41,6.06,124.5,67,4.38,78.12,78.12
226,US,US,1572985565,1,39.75,-75.55,42,5.82,63.0,57.2
227,JP,JP,1572985347,75,33.93,134.5,81,12.75,48.2,48.2
228,VE,VE,1572985603,57,8.02,-62.41,66,8.99,88.0,88.0
229,PK,PK,1572985604,8,29.03,66.58,72,4.12,47.34,47.34
230,US,US,1572985605,5,43.52,-114.32,40,9.17,54.0,51.8
231,CA,CA,1572985343,90,62.45,-114.38,78,8.05,12.2,12.0
232,US,US,1572985473,40,41.14,-73.36,72,11.41,61.0,55.0
233,SN,SN,1572985610,44,12.49,-16.54,88,4.7,82.4,82.4
234,AM,AM,1572985612,92,40.58,43.87,80,4.7,35.6,26.6
235,AE,AE,1572985613,0,25.27,55.3,66,4.7,84.2,75.2
236,ZA,ZA,1572985614,100,-31.89,26.88,80,1.57,62.51,62.51
237,TM,TM,1572985616,0,39.51,54.36,26,21.88,44.92,44.92
238,RU,RU,1572985617,38,47.77,134.91,72,12.62,21.85,21.85
239,AU,AU,1572985619,90,-37.84,145.39,62,8.05,60.01,54.0
240,AU,AU,1572985620,58,-20.74,116.85,48,10.09,79.12,79.12
241,GE,GE,1572985622,60,41.96,42.96,70,5.82,48.2,48.2
242,KZ,KZ,1572985623,69,44.86,78.76,77,2.82,14.76,14.76
243,NO,NO,1572985624,40,70.66,23.68,92,6.93,32.0,28.4
244,GM,GM,1572985626,97,13.79,-15.05,27,7.58,91.2,91.2
245,ZW,ZW,1572985627,0,-20.19,32.62,71,6.78,61.99,61.99
246,IS,IS,1572985628,100,63.44,-20.27,72,11.77,39.65,39.65
247,BJ,BJ,1572985629,20,6.45,2.35,83,5.82,82.4,82.4
248,ID,ID,1572985372,74,4.14,96.13,83,7.47,78.93,78.93
249,US,US,1572985632,1,44.02,-107.96,47,4.7,53.01,42.8
250,CL,CL,1572985634,75,-42.48,-73.76,76,11.41,51.8,51.8
251,EE,EE,1572985635,100,59.1,26.19,82,12.1,33.84,33.84
252,CN,CN,1572985637,100,47.83,88.13,64,2.91,30.7,30.7
253,SV,SV,1572985638,20,13.27,-88.55,59,3.36,91.4,89.6
254,PR,PR,1572985640,20,18.01,-65.9,62,12.75,87.8,78.01
255,TD,TD,1572985642,0,13.47,22.2,18,12.15,74.34,74.34
256,MA,MA,1572985643,92,29.7,-9.73,92,11.77,55.99,55.99
257,AR,AR,1572985573,40,-54.81,-68.31,75,19.46,42.8,42.8
258,ZM,ZM,1572985646,100,-13.55,23.12,77,3.69,68.67,68.67
259,US,US,1572985647,90,30.04,-94.42,61,9.17,82.0,73.99
260,MU,MU,1572985649,40,-19.98,57.61,94,2.24,71.6,71.01
261,SY,SY,1572985650,0,34.45,40.92,42,4.18,68.11,68.11
262,AU,AU,1572985651,0,-32.72,152.14,93,6.93,60.01,53.6
263,PH,PH,1572985653,100,12.12,119.85,80,17.02,82.76,82.76
264,ML,ML,1572985654,67,22.68,-3.98,16,6.2,81.97,81.97
265,TO,TO,1572985656,20,-18.65,-173.98,88,4.7,73.4,73.4
266,AO,AO,1572985657,34,-15.19,12.15,80,3.62,73.4,73.4
267,RU,RU,1572985658,90,64.42,-173.23,79,6.71,26.6,26.6
268,CA,CA,1572985660,90,53.65,-115.58,85,6.93,19.4,17.6
269,RU,RU,1572985661,90,55.21,83.32,80,11.18,32.0,32.0
270,UA,UA,1572985663,0,48.91,37.03,93,8.55,51.82,51.82
271,ID,ID,1572985664,90,-1.4,120.75,74,4.0,67.28,67.28
272,NZ,NZ,1572985666,2,-46.28,169.85,82,5.01,52.0,52.0
273,BR,BR,1572985667,93,-23.07,-54.19,93,10.98,72.12,72.12
274,RU,RU,1572985669,95,68.05,39.51,99,6.69,19.8,19.8
275,ID,ID,1572985420,99,-0.86,131.25,99,2.08,72.16,72.16
276,VN,VN,1572985672,0,21.32,103.9,87,1.54,59.04,59.04
